distX;distY;myGunHeading;velocityX;velocityY;hit
399.84;110.63;305.00;-4.02;-2.98;0
409.04;114.08;300.00;0.00;0.00;0
422.71;0.03;295.00;0.00;0.00;0
423.51;-1.68;290.00;0.00;0.00;0
237.68;88.52;240.00;0.00;0.00;0
235.18;84.19;245.00;0.00;0.00;0
233.07;79.66;250.00;0.00;0.00;0
229.20;50.24;280.00;0.00;0.00;1
230.06;45.32;285.00;0.00;0.00;1
231.36;74.96;255.00;0.00;0.00;0
230.06;70.13;260.00;0.00;0.00;0
229.20;65.20;265.00;0.00;0.00;0
228.76;60.22;270.00;0.00;0.00;0
228.76;55.22;275.00;0.00;0.00;0
231.36;40.49;290.00;0.00;0.00;0
233.07;35.79;295.00;0.00;0.00;0
247.30;15.47;320.00;0.00;0.00;0
243.76;19.00;315.00;0.00;0.00;0
251.13;12.25;325.00;0.00;0.00;0
240.55;22.83;310.00;0.00;0.00;0
235.18;31.26;300.00;0.00;0.00;0
237.68;26.93;305.00;0.00;0.00;0
235.79;-160.86;195.00;0.00;0.00;0
234.50;-156.03;200.00;0.00;0.00;0
232.79;-151.33;205.00;0.00;0.00;0
342.60;-246.54;210.00;0.00;0.00;0
379.77;7.81;240.00;0.00;0.00;1
340.10;-242.21;215.00;0.00;0.00;0
371.64;7.07;245.00;0.00;0.00;1
359.49;2.70;250.00;-3.81;-3.24;1
337.23;-238.11;220.00;0.00;0.00;0
326.65;-227.53;235.00;0.00;0.00;1
334.02;-234.28;225.00;0.00;0.00;0
342.35;-0.78;260.00;-3.81;-3.24;1
329.81;-6.40;265.00;-3.81;-3.24;1
330.48;-230.74;230.00;0.00;0.00;0
253.47;-47.30;305.00;-3.81;-3.24;0
261.61;-41.56;300.00;-7.61;-6.48;0
241.76;-56.65;310.00;-3.81;-3.24;0
269.94;-36.20;295.00;-3.81;-3.24;0
105.40;-54.41;315.00;0.00;0.00;0
350.99;1.17;255.00;-7.61;-6.48;0
92.11;-55.79;320.00;0.00;0.00;0
282.26;-28.01;290.00;-3.81;-3.24;0
88.90;-59.62;325.00;-9.75;2.16;0
321.02;-9.20;270.00;-7.61;-6.48;0
